conversation_id,summary,transcript,MM Card Issue,MM Card Partner issue,Dashboard Issue,Dashboard Subcategory,KYC Issue,KYC Subcategory
910198,"Я могу помочь только с вопросами, связанными с MetaMask. Если у вас есть вопросы по MetaMask, пожалуйста, дайте мне знать, и я постараюсь помочь.","bot: Я могу помочь только с вопросами, связанными с MetaMask. Если у вас есть вопросы по MetaMask, пожалуйста, дайте мне знать, и я постараюсь помочь.
-----------------------------------
This response was generated by AI.
bot: Is this what you were looking for?
bot: We just need a bit more information to connect you with the right person.
bot: Please select the MetaMask app that's related to your inquiry.
bot: What version of MetaMask extension are you using?
bot: Which operating system are you using?
bot: Please select the network that's related to your inquiry.
bot: Please share your MetaMask public address (starting with 0x). 
bot: Please provide a detailed description of your query for our agents.
user: не могу привязать номер телефона для оформления карты
bot: You are now being transferred to an agent.
bot: Hey there! Just letting you know that all our agents are helping other customers right now, but you're in line. Someone will be with you real soon. Thanks for hanging in there!
bot: Hey, just a quick update: we're super busy, but we're getting closer to your turn. Thanks for sticking around.
bot: It’s a busy day on our end, but hang tight, we haven’t forgotten about you! Your turn is coming up. Really appreciate your patience!
bot: Unfortunately our agents are not able to take your request in a timely manner.
bot: We will need to raise a ticket for this request. Our usual reply time is under 1 business day. 
bot: Please provide us with your email address for ticket updates.
bot: Your ticket has been successfully logged into our system.
bot: The team will reply as soon as they can.
bot: Please give your ticket a short title so it's easier to find it in your inbox.
bot: Just checking back in, let us know if there's anything else we can help with.
Cristi GPT response: Я могу помочь только с вопросами, связанными с MetaMask. Если у вас есть вопросы по MetaMask, пожалуйста, дайте мне знать, и я постараюсь помочь.
Conversation description: не могу привязать номер телефона для оформления карты",Other,Didn't receive confirmation SMS,None,None,None,None
912439,"Question
The customer contacted us because their personal information was missing/undefined/NaN on their newly created Card account and they needed assistance from Crypto Life (CL) Support.Summary• User has created a Card account but personal info is missing/undefined/NaN.
• User needs to contact Crypto Life (CL) Support at metamask@cl-cards.com for assistance.
• Teammate Sophia is assisting the user.
• User did not find metamask card support contact.
• Conversation will be closed due to inactivity if no response in 10 minutes.","bot: Sorry, I couldn’t answer that. Please  share more details about your question, or type ‘agent’ to be transferred to a support agent.
user: Agent
bot: We just need a bit more information to connect you with the right person.
bot: Please select the MetaMask app that's related to your inquiry.
bot: Please select the network that's related to your inquiry.
bot: Please share your MetaMask public address (starting with 0x). 
bot: Please provide a detailed description of your query for our agents.
user: I have created a Card account but it shows all my personal info as missing, undefined or NaN, and asks to contact support. How do I fix this?Also, I did not find metamask card support contact
bot: You are now being transferred to an agent.
admin: Hi! Thank you for contacting MetaMask Card Support. My name is Sophia, and I'll assist you today. Please give me a few moments to review the summary, and I will do my best to help.
admin: Please contact our partner Crypto Life (CL) Support at metamask@cl-cards.com, they will be able to check this further and help you with the personal details. 
user: Okay, thanks
admin: You're welcome! Let me know if there is anything else Metamask-related I can help with at the moment.
bot: Just checking back in, let us know if you need more time. If we don't hear back from you in 10 min we will close this conversation due to inactivity
bot: We're going to go ahead and wrap up this conversation.
Send us a message if you need anything else.
bot: If you have 30 seconds, please rate your experience below and share any feedback you have. We’d love to hear from you!
bot: [Conversation Rating Request]
Cristi GPT response: transfer-to-agent
Conversation description: I have created a Card account but it shows all my personal info as missing, undefined or NaN, and asks to contact support. How do I fix this? Also, I did not find metamask card support contact",Partner issue,Other,None,None,None,None
911828,"Question
The customer contacted us for assistance with registering for a debit card, specifically at the phone number step.Summary• Customer is experiencing an issue with registering for a debit card, specifically at the phone number step.
• MetaMask support recommends contacting Crypto Life Support for assistance with this issue.
• Crypto Life is a trusted partner and will handle personal information in accordance with their privacy policy.
• Customer can reach Crypto Life via email at metamask@cl-cards.com.
• MetaMask support is available for any other inquiries.","bot: Pick an option from the menu below
user: Using MetaMask Card
bot: Please choose the relevant MetaMask Card help topic
user: Managing your Card
bot: Click here to see how to monitor your Card.
bot: Was this helpful?
user: Talk to a person 👤
bot: We just need a bit more information to connect you with the right person.
bot: Please select the MetaMask app that's related to your inquiry.
bot: What version of MetaMask extension are you using?
bot: Which operating system are you using?
bot: Please select the network that's related to your inquiry.
bot: Please share your MetaMask public address (starting with 0x). 
bot: Please provide a detailed description of your query for our agents.
user: I get error on the registration for debit card. the issue is at the phone number step
bot: You are now being transferred to an agent.
bot: Hey there! Just letting you know that all our agents are helping other customers right now, but you're in line. Someone will be with you real soon. Thanks for hanging in there!
bot: Hey, just a quick update: we're super busy, but we're getting closer to your turn. Thanks for sticking around.
user: Oops… Something went wrong. Please try again later or contact support
bot: It’s a busy day on our end, but hang tight, we haven’t forgotten about you! Your turn is coming up. Really appreciate your patience!
bot: Unfortunately our agents are not able to take your request in a timely manner.
bot: We will need to raise a ticket for this request. Our usual reply time is under 1 business day. 
bot: Please provide us with your email address for ticket updates.
bot: Your ticket has been successfully logged into our system.
bot: The team will reply as soon as they can.
bot: Please give your ticket a short title so it's easier to find it in your inbox.
admin: Hello there,

Thank you for reaching out to MetaMask support!

For this specific issue, we recommend contacting Crypto Life Support. Crypto Life is our trusted partner in managing your account and processing the personal information associated with it in accordance with their privacy policy. They are best equipped to assist you with your query.﻿﻿
You can reach out to them via email at metamask@cl-cards.com﻿﻿﻿Please let us know if there is anything else we can assist you with.

Thanks!
bot: Thanks for reaching out! If you have 30 seconds, please rate your experience below and share any feedback you have. We’d love to hear from you!
bot: [Conversation Rating Request]
Conversation description: I get error on the registration for debit card. the issue is at the phone number step",Partner issue,Other,None,None,None,None
913105,"Question
The customer's debit card was declined while using MetaMask Card and they need assistance.Summary• Customer's debit card was declined while using MetaMask Card
• Customer's bank has been hacked and they were not informed about purchasing bitcoin
• Customer's personal card is with Revolut
• Teammate can only assist with issues related to MetaMask Card, customer should contact Revolut for assistance with their personal card
• Teammate provides resources for contacting Revolut's customer support and using Revolut Ramp.","bot: I can assist you with MetaMask-related issues. If your query is about a debit card, please note that I can only help with issues related to MetaMask. If your question involves MetaMask, could you please provide more details or clarify your issue?
-----------------------------------
This response was generated by AI.
user: agent
bot: We just need a bit more information to connect you with the right person.
bot: Please select the MetaMask app that's related to your inquiry.
bot: What version of MetaMask mobile are you using?
bot: Which operating system are you using?
bot: Please select the network that's related to your inquiry.
bot: Please share your MetaMask public address (starting with 0x). 
bot: Please provide a detailed description of your query for our agents.
user: I guess my debit card was declined. I wasn't told by my instructor I was purchasing anything this is my second day. She told me to contact you
bot: You are now being transferred to an agent.
user: Thank you
bot: Hey there! Just letting you know that all our agents are helping other customers right now, but you're in line. Someone will be with you real soon. Thanks for hanging in there!
bot: Hey, just a quick update: we're super busy, but we're getting closer to your turn. Thanks for sticking around.
user: no problem
bot: It’s a busy day on our end, but hang tight, we haven’t forgotten about you! Your turn is coming up. Really appreciate your patience!
user: it's okay 
admin: Hey, thanks for reaching MetaMask, this is Angelo! Give me one moment to look over the previous chat.

Please DO NOT share any personal information, including, but not limited to: your seed phrase (12 words), full name, phone number, or physical address.
user: hi
admin: Can you clarify your question or issue for me? Thank you!
user: okay
user: I am in trainning. Today I put my debit card information in and it was declinded
user: Thats because my bank has been hacked and if I had been told I was going to buy bitcoin I would have unfrozen my card. But Christine did not tell me she just told me to contact you
admin: To clarify, are you referring to the MetaMask Card, or a different debit card?
user: my personal card Revolut
admin: Alright, I can only assist with issues related to the MetaMask Card, specifically, is this what you have? if it's related to Revolut you may reach out to their support team using the information below:

If you need further assistance with your account or recent orders, please contact Revolut's Customer Support. 

For in-app assistance, you can log in to your Revolut app, tap on your profile (circle icon in the upper left corner), click Help, select Get more help, and contact us. 

For other ways to contact the merchant, please check here: https://www.revolut.com/contact-us/

Additional resources for using Revolut Ramp can be found here: 
https://help.revolut.com/help/wealth/revolut-ramp/
bot: Just checking back in, let us know if you need more time. If we don't hear back from you in 10 min we will close this conversation due to inactivity
bot: We're going to go ahead and wrap up this conversation.
Send us a message if you need anything else.
bot: If you have 30 seconds, please rate your experience below and share any feedback you have. We’d love to hear from you!
bot: [Conversation Rating Request]
Cristi GPT response: transfer-to-agent
Conversation description: I guess my debit card was declined. I wasn't told by my instructor I was purchasing anything this is my second day. She told me to contact you",Other,None,None,None,None,None
912350,"Question
The customer contacted us for assistance with using the MetaMask card and withdrawing cash from the AMD token.Summary• Customer is having trouble using the MetaMask card and wants to talk to a person.
• Customer is using the MetaMask mobile app and needs assistance with connecting.
• Customer is using the AMD token and wants to withdraw cash.
• Teammate asks for customer's MetaMask wallet address to check on the Explorer.
• Teammate informs customer that they will close the conversation due to inactivity if they don't hear back in 10 minutes.","bot: Pick an option from the menu below
user: Using MetaMask Card
bot: Please choose the relevant MetaMask Card help topic
user: I’m having trouble using the card
bot: Please select the option that describes your issue
user: I can’t connect with MetaMask
bot: Click here to learn more on how to access the dashboard with MetaMask. 
bot: Was this helpful?
user: Talk to a person 👤
bot: We just need a bit more information to connect you with the right person.
bot: Please select the MetaMask app that's related to your inquiry.
bot: What version of MetaMask mobile are you using?
bot: Which operating system are you using?
bot: Please select the network that's related to your inquiry.
bot: Please share your MetaMask public address (starting with 0x). 
bot: Please provide a detailed description of your query for our agents.
user: Uzum em kanxikacum katarem 
bot: You are now being transferred to an agent.
user: Et vorna 
admin: Hello!
Thank you for reaching out to Metamask support! 
Allow me a few moments to read the summary of your issue.
admin: We use a translation tool to assist in your language as best we can.﻿We disclaim any liability for any miscommunication caused by such translation tool.
admin: Can you please provide more details about your issue?
admin: Can you please provide more details about your issue?
user: Я хочу снять наличные 
admin: What tokens do you want to withdraw?
user: AMD 
admin: Can you please give me your Metamask wallet address so I can check on the Explorer?

https://support.metamask.io/managing-my-wallet/accounts-and-addresses/how-to-copy-your-metamask-account-public-address-/
bot: Just checking back in, let us know if you need more time. If we don't hear back from you in 10 min we will close this conversation due to inactivity
bot: We're going to go ahead and wrap up this conversation.
Send us a message if you need anything else.
bot: If you have 30 seconds, please rate your experience below and share any feedback you have. We’d love to hear from you!
bot: [Conversation Rating Request]
Conversation description: Uzum em kanxikacum katarem",None,None,None,None,None,None
908255,"To transfer your USDC to your MetaMask Card, you need to follow these steps:

1. Ensure Eligibility: Make sure you are in a region where the MetaMask Card is available. Currently, it is available in the UK, the EEA, Brazil, Mexico, Colombia, and the US (excluding New York and Vermont).

2. Set Up MetaMask Card: If you haven't already, set up your MetaMask Card by navigating to the 'Card' tab in MetaMask Portfolio. You will need to complete the setup process, which includes identity verification.

3. Bridge Funds to Linea: You need to bridge your USDC to the Linea network, which is used by the MetaMask Card for transactions. This can be done through the MetaMask Portfolio Bridge.

4. Approve Spending Limit: Set a spending limit for your MetaMask Card. You can choose to automatically approve spending or set a specific limit for your USDC.

5. Use Your Card: Once your card is set up and funded, you can use it anywhere Mastercard is accepted. You can also add it to digital wallets like Apple Pay or Google Wallet for convenience.

6. Transaction Fees: Be aware that each transaction will incur a small gas fee, typically around $0.02, and a swap fee of 0.875%.

If you have any further questions or need assistance with specific steps, feel free to ask!","bot: To transfer your USDC to your MetaMask Card, you need to follow these steps:
 
1. Ensure Eligibility: Make sure you are in a region where the MetaMask Card is available. Currently, it is available in the UK, the EEA, Brazil, Mexico, Colombia, and the US (excluding New York and Vermont).
 
2. Set Up MetaMask Card: If you haven't already, set up your MetaMask Card by navigating to the 'Card' tab in MetaMask Portfolio. You will need to complete the setup process, which includes identity verification.
 
3. Bridge Funds to Linea: You need to bridge your USDC to the Linea network, which is used by the MetaMask Card for transactions. This can be done through the MetaMask Portfolio Bridge.
 
4. Approve Spending Limit: Set a spending limit for your MetaMask Card. You can choose to automatically approve spending or set a specific limit for your USDC.
 
5. Use Your Card: Once your card is set up and funded, you can use it anywhere Mastercard is accepted. You can also add it to digital wallets like Apple Pay or Google Wallet for convenience.
 
6. Transaction Fees: Be aware that each transaction will incur a small gas fee, typically around $0.02, and a swap fee of 0.875%.
 
If you have any further questions or need assistance with specific steps, feel free to ask!
-----------------------------------
This response was generated by AI.
bot: Is this what you were looking for?
bot: We just need a bit more information to connect you with the right person.
bot: Please select the MetaMask app that's related to your inquiry.
bot: What version of MetaMask mobile are you using?
bot: Which operating system are you using?
bot: Please select the network that's related to your inquiry.
bot: Please share your MetaMask public address (starting with 0x). 
bot: Please provide a detailed description of your query for our agents.
user: I need help transferring my usdc to my wallet debit 
bot: You are now being transferred to an agent.
bot: Hey there! Just letting you know that all our agents are helping other customers right now, but you're in line. Someone will be with you real soon. Thanks for hanging in there!
bot: Hey, just a quick update: we're super busy, but we're getting closer to your turn. Thanks for sticking around.
bot: It’s a busy day on our end, but hang tight, we haven’t forgotten about you! Your turn is coming up. Really appreciate your patience!
bot: Unfortunately our agents are not able to take your request in a timely manner.
bot: We will need to raise a ticket for this request. Our usual reply time is under 1 business day. 
bot: Please provide us with your email address for ticket updates.
bot: Your ticket has been successfully logged into our system.
bot: The team will reply as soon as they can.
bot: Please give your ticket a short title so it's easier to find it in your inbox.
admin: Hello thereTo use funds on your MetaMask card, you need to bridge them to the Linea network. After doing this you can set a spending limit and then use your funds. You can find a detailed guide on how to do this here: https://support.metamask.io/manage-crypto/metamask-card/funding/
bot: Just checking back in, let us know if there's anything else we can help with.
Cristi GPT response: To transfer your USDC to your MetaMask Card, you need to follow these steps:

1. Ensure Eligibility: Make sure you are in a region where the MetaMask Card is available. Currently, it is available in the UK, the EEA, Brazil, Mexico, Colombia, and the US (excluding New York and Vermont).

2. Set Up MetaMask Card: If you haven't already, set up your MetaMask Card by navigating to the 'Card' tab in MetaMask Portfolio. You will need to complete the setup process, which includes identity verification.

3. Bridge Funds to Linea: You need to bridge your USDC to the Linea network, which is used by the MetaMask Card for transactions. This can be done through the MetaMask Portfolio Bridge.

4. Approve Spending Limit: Set a spending limit for your MetaMask Card. You can choose to automatically approve spending or set a specific limit for your USDC.

5. Use Your Card: Once your card is set up and funded, you can use it anywhere Mastercard is accepted. You can also add it to digital wallets like Apple Pay or Google Wallet for convenience.

6. Transaction Fees: Be aware that each transaction will incur a small gas fee, typically around $0.02, and a swap fee of 0.875%.

If you have any further questions or need assistance with specific steps, feel free to ask!
Conversation description: I need help transferring my usdc to my wallet debit",User training,None,None,None,None,None
898437,"Question
The customer contacted us because they were having trouble verifying their phone number for a MetaMask Card account.Summary• Customer is having trouble verifying their phone number for a MetaMask Card account.
• Teammate requests a screenshot and asks if customer is using a VPN.
• Customer is not using a VPN and does not have the MetaMask app installed on their mobile device.
• Teammate informs customer that the issue is not related to the app and will escalate the issue to the technical team.
• Teammate creates a ticket for the customer and informs them that the team will respond within 1 business day.","bot: Pick an option from the menu below
user: Using MetaMask Card
bot: Please choose the relevant MetaMask Card help topic
user: Managing your Card
bot: Click here to see how to monitor your Card.
bot: Was this helpful?
user: Talk to a person 👤
bot: We just need a bit more information to connect you with the right person.
bot: Please select the MetaMask app that's related to your inquiry.
bot: What version of MetaMask extension are you using?
bot: Which operating system are you using?
bot: Please select the network that's related to your inquiry.
bot: Please share your MetaMask public address (starting with 0x). 
bot: Please provide a detailed description of your query for our agents.
user: I want to create account for a metamask card.. but I can't verify my phone number.. please help me..
bot: You are now being transferred to an agent.
admin: Hello!  Please provide me with the screenshot requested in the previous conversation.
user: Sorry for the disconnect... It's my fault 
admin: No worries at all.
user: 
user: Here this screenshot 
admin: Thank you!Are you using any VPNs at the moment?
user: No no
admin: Alright. Do you hav the Metamask app installed on your mobile device?
user: No 
user: I am using extension on my phone 
user: Should I install the app??
admin: I see. Yes, but not for this reason. We don't officially support the Metamask extension on Mobile browsers. If you want to use Metamask on your mobile device, please use the official app from the PlayStore. If you want to use Metamask on PC, use the browser extension.But this particular issue has nothing to do with that.
admin: Alright! Please accept our apologies for this inconvenient situation, and allow me to elevate this to our technical team, so they can have a deeper look and assist you accordingly.
user: Yee thank you so much..
user: For contacting me 
bot: I will create a ticket on your behalf so our Technical Support team can investigate your issue further. Their usual reply time is under 1 business day.
bot: ﻿Once we proceed, we won’t be able to chat any further. ﻿﻿Is there anything else we can help you with before creating the ticket?
user: Please create the ticket
bot: Please provide us with your email address for ticket updates.
bot: Your ticket has been successfully logged into our system.
bot: The team will get back to you on this via email, our usual reply time is a day.
admin: Hello,
Thank you for reaching MetaMask Technical Support! 🦊Have you previously verified the phone number you are trying to use?
bot: Just checking back in, let us know if there's anything else we can help with.
bot: We're going to go ahead and wrap up this conversation.
Send us a message if you need anything else.
bot: If you have 30 seconds, please rate your experience below and share any feedback you have. We’d love to hear from you!
bot: [Conversation Rating Request]
Conversation description: I want to create account for a metamask card.. but I can't verify my phone number.. please help me..",Other,KYC Issue,None,None,Technical error,None
913078,Does not exist,"bot: Pick an option from the menu below
user: Registration
bot: Please choose the relevant MetaMask Card help topic
user: Didn’t receive confirmation link
bot: Please contact Crypto Life (CL) Support at metamask@cl-cards.com  for any issues or questions regarding the change of e-mail or phone number for MetaMask Card.",Partner issue,Didn't receive confirmation email,None,None,None,None
913060,Does not exist,"bot: Pick an option from the menu below
user: Registration
bot: Please choose the relevant MetaMask Card help topic
user: Can’t find the registration page
bot: Please click here to check the registration criteria. ",None,None,None,None,None,None
913014,Does not exist,bot: Pick an option from the menu below,None,None,None,None,None,None
